Unsorted Array Sort
,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608
Bubble,32640,130816,523776,2096128,8386560,33550336,134209536,536854528,2147450880,8589869056,34359607296,,
Bin,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216,
Selection,32640,130816,523776,2096128,8386560,33550336,134209536,536854528,2147450880,8589869056,34359607296,137438691328,
Insertion,15953,65374,267366,1054804,4186821,16654205,66116541,268075259,1070963697,4292472646,17196832496,,
Heap,255,511,1023,2047,4095,8191,16383,32767,65535,131071,262143,524287,1048575,2097151,4194303,8388607,
Quick,3417,11133,28318,66469,149576,329871,718402,1550286,3329681,7125454,15179474,32194471,68026459,143112436,300109509,628411562,
Merge,511,1023,2047,4095,8191,16383,32767,65535,131071,262143,524287,1048575,2097151,4194303,8388607,16777215,

Sorted Array Sort
,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608
Bubble,255,511,1023,2047,4095,8191,16383,32767,65535,131071,262143,524287,1048575,2097151,4194303,8388607,
Bin,512,1024,2048,4096,8192,16384,26385,42769,75537,141073,272145,534289,1058577,2107153,4204305,8398609,
Selection,32640,130816,523776,2096128,8386560,33550336,134209536,536854528,2147450880,8589869056,34359607296,137438691328,
Insertion,255,511,1023,2047,4095,8191,16383,32767,65535,131071,262143,524287,1048575,2097151,4194303,8388607,
Heap,255,511,1023,2047,4095,8191,16383,32767,65535,131071,262143,524287,1048575,2097151,4194303,8388607,
Quick,1134142754,1134151459,1134170916,1134213925,1134308134,1134512935,1134955304,1135905577,1137937194,1142262571,1151437612,1170836269,1211730734,1297713967,1478069040,1855556401,
Merge,511,1023,2047,4095,8191,16383,32767,65535,131071,262143,524287,1048575,2097151,4194303,8388607,16777215,
